0	-3.8110079	0.1046202	0.7038317
1	-4.7593333	0.1319704	0.8309651
2	-3.6170858	0.8797191	0.1767190
3	-2.9440373	-2.1788017	-0.5800833
4	-3.2450588	-1.3909469	-0.1274213
5	-2.6491784	-1.8662748	-1.4354295
6	-3.2332754	2.3286578	-0.7766484
7	-3.7553129	3.0591394	-1.1084698
8	-2.5349079	2.7433517	-0.2701469
9	-2.2198061	-0.0890703	2.9473623
10	-1.7540752	0.7460278	2.9913843
11	-2.7780339	-0.0120375	2.1736183
12	-2.0171250	-1.2787602	-3.0042629
13	-2.3891362	-1.6701253	-3.7946255
14	-1.1107388	-1.5860613	-2.9880718
15	-1.7582946	1.4547359	-2.9323056
16	-1.8735496	0.5052644	-2.9704111
17	-2.2825754	1.7301377	-2.1802980
18	-0.9868545	-3.5973045	0.6733459
19	-1.7206104	-3.1531843	0.2483851
